employee_id,name,department,salary,joining_date,email
E82,Employee_1,IT,-31639,2/4/2020, Employee1@Company.com 
E87,Employee_2,finance,"78,540",7/3/2019, Employee2@Company.com 
E28,Employee_3,sales,"45,247",2/12/2020, Employee3@Company.com 
E29,Employee_4,hr,"59,439",11/30/2022, Employee4@Company.com 
E36,Employee_5,Human Resources,-44110,7/9/2019, Employee5@Company.com 
E46,Employee_6,HR,-52541,2/3/2023, Employee6@Company.com 
E49,Employee_7,IT,-66178,13-12-2022, Employee7@Company.com 
E85,Employee_8,IT,"44,935",7/26/2019, Employee8@Company.com 
E59,Employee_9,Finance,,28-12-2020, Employee9@Company.com 
E90,Employee_10,sales,,2/2/2023, Employee10@Company.com 
E60,Employee_11,Finance,,25-04-2019, Employee11@Company.com 
E41,Employee_12,Finance,,3/11/2020, Employee12@Company.com 
E51,Employee_13,hr,72129,26-06-2020, Employee13@Company.com 
E72,Employee_14,finance,78956,11/1/2021, Employee14@Company.com 
E66,Employee_15,Human Resources,"62,343",11/10/2019, Employee15@Company.com 
E88,Employee_16,finance,34163,5/5/2022, Employee16@Company.com 
E71,Employee_17,sales,"86,412",6/30/2020, Employee17@Company.com 
E15,Employee_18,HR,40365,1/18/2023, Employee18@Company.com 
E65,Employee_19,Information Technology,"79,935",8/1/2022, Employee19@Company.com 
E20,Employee_20,Finance,"54,504",27-09-2021, Employee20@Company.com 
E47,Employee_21,IT,-84504,29-04-2019, Employee21@Company.com 
E11,Employee_22,sales,"77,966",15-09-2019, Employee22@Company.com 
E71,Employee_23,IT,64581,1/9/2022, Employee23@Company.com 
E40,Employee_24,Sales,-74019,11/25/2021, Employee24@Company.com 
E32,Employee_25,sales,"44,725",4/16/2020, Employee25@Company.com 
E1,Employee_26,IT,"34,652",19-05-2019, Employee26@Company.com 
E10,Employee_27,IT,48250,9/1/2022, Employee27@Company.com 
E32,Employee_28,IT,82920,13-07-2019, Employee28@Company.com 
